Product Name,Target,Pathway
Pregnenolone,Autophagy; Cannabinoid Receptor; Endogenous Metabolite; TRP Channel,Autophagy; GPCR/G Protein; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Typhaneoside,Autophagy,Autophagy
"3,4-Dihydroxybenzeneacetic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
Chrysoobtusin,Others,Others
p-Hydroxycinnamic acid,Endogenous Metabolite; Prostaglandin Receptor,GPCR/G Protein; Metabolic Enzyme/Protease
4-Nitrocatechol,Endogenous Metabolite; Lipoxygenase,Metabolic Enzyme/Protease
N-Methylbenzylamine,Others,Others
Panasenoside,Glucosidase,Metabolic Enzyme/Protease
Syringic acid,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
3-Amino-2-piperidinone,Endogenous Metabolite,Metabolic Enzyme/Protease
Moracin O,HIF/HIF Prolyl-Hydroxylase; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Amygdalin,Others,Others
20(S)-Hydroxycholesterol,Endogenous Metabolite; Smo,Metabolic Enzyme/Protease; Stem Cell/Wnt
Ethylmalonic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Protohypericin,Others,Others
Tyrosol,Endogenous Metabolite; NF-κB,Metabolic Enzyme/Protease; NF-κB
Vicenin 2,Angiotensin-converting Enzyme (ACE),Metabolic Enzyme/Protease
Vanilpyruvic acid,Adrenergic Receptor; Drug Metabolite; Endogenous Metabolite; Monoamine Transporter; Opioid Receptor,GPCR/G Protein; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Liensinine,Apoptosis; Autophagy; Mitophagy,Apoptosis; Autophagy
Vicine,Others,Others
Solanidine,Others,Others
5-O-Caffeoylshikimic acid,Others,Others
meso-Erythritol,Endogenous Metabolite,Metabolic Enzyme/Protease
Caulilexin C,Fungal,Anti-infection
(±) Anabasine,Endogenous Metabolite,Metabolic Enzyme/Protease
Orientin,Others,Others
8-Hydroxyguanosine,Endogenous Metabolite,Metabolic Enzyme/Protease
2-Acetylpyrrole,Others,Others
Quercitrin,Autophagy; Reactive Oxygen Species; Ribosomal S6 Kinase (RSK),Autophagy; Immunology/Inflammation; MAPK/ERK Pathway; Metabolic Enzyme/Protease; NF-κB
Liensinine (Diperchlorate),Autophagy; Mitophagy,Autophagy
Ethyl nonanoate,Endogenous Metabolite,Metabolic Enzyme/Protease
γ-Tocotrienol,Endogenous Metabolite; NF-κB,Metabolic Enzyme/Protease; NF-κB
FAPy-adenine,Endogenous Metabolite,Metabolic Enzyme/Protease
Flavokawain A,Apoptosis,Apoptosis
Robinin,Toll-like Receptor (TLR),Immunology/Inflammation
Demethoxycurcumin,Apoptosis; Autophagy; Bacterial,Anti-infection; Apoptosis; Autophagy
Caffeic acid,Endogenous Metabolite; Lipoxygenase; TRP Channel,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Neodiosmin,Others,Others
Stachydrine,Endogenous Metabolite; NF-κB,Metabolic Enzyme/Protease; NF-κB
Ginsenoside F2,Apoptosis; Autophagy; Endogenous Metabolite,Apoptosis; Autophagy; Metabolic Enzyme/Protease
Dencichine,HIF/HIF Prolyl-Hydroxylase,Metabolic Enzyme/Protease
Octadecane,Others,Others
Rubrofusarin gentiobioside,Others,Others
Dehydronuciferine,Cholinesterase (ChE),Neuronal Signaling
Fucosterol,Endogenous Metabolite; PARP,Cell Cycle/DNA Damage; Epigenetics; Metabolic Enzyme/Protease
Ethyl oleate,Others,Others
Rhapontigenin,Bacterial; Cytochrome P450; Fungal,Anti-infection; Metabolic Enzyme/Protease
Prunetin,Aldehyde Dehydrogenase (ALDH),Metabolic Enzyme/Protease
Tamarixetin,Endogenous Metabolite,Metabolic Enzyme/Protease
Scopoletin,Apoptosis; Cholinesterase (ChE),Apoptosis; Neuronal Signaling
Luteolinidin (chloride),CD38,Immunology/Inflammation
Glycycoumarin,Autophagy,Autophagy
Cirsiliol,Lipoxygenase,Metabolic Enzyme/Protease
N-benzoyl-L-aspartic acid,Others,Others
Methyl N-methylanthranilate,Others,Others
Myosmine,nAChR,Membrane Transporter/Ion Channel; Neuronal Signaling
Tricaprin,Endogenous Metabolite,Metabolic Enzyme/Protease
2-Methoxycinnamaldehyde,Apoptosis,Apoptosis
5-Desmethylsinensetin,Bacterial,Anti-infection
Vanillylamine,Others,Others
3-Ethoxy-3-oxopropanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Allocryptopine,Potassium Channel,Membrane Transporter/Ion Channel
"2,6-Dihydroxybenzoic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
Glycodeoxycholic Acid,Endogenous Metabolite,Metabolic Enzyme/Protease
2-Undecanol,Others,Others
Kaempferide,Apoptosis; Autophagy; Bacterial; Estrogen Receptor/ERR; Influenza Virus,Anti-infection; Apoptosis; Autophagy; Others
3-​Oxocholic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Hemin,Autophagy; Ferroptosis; Mitophagy,Apoptosis; Autophagy
Trigonelline (chloride),Bacterial; Fungal; HSV,Anti-infection
4-Methylcatechol,Endogenous Metabolite,Metabolic Enzyme/Protease
Myristicin,5-HT Receptor,GPCR/G Protein; Neuronal Signaling
Hesperetin,Apoptosis; Autophagy; p38 MAPK,Apoptosis; Autophagy; MAPK/ERK Pathway
Tannic acid,Potassium Channel,Membrane Transporter/Ion Channel
3-Methyl-2-oxobutanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Methyl dihydrojasmonate,Others,Others
Corilagin,Bacterial; Reverse Transcriptase,Anti-infection
Dehydroepiandrosterone sulfate,Others,Others
Menaquinone-4,Endogenous Metabolite,Metabolic Enzyme/Protease
Cytosine,Endogenous Metabolite,Metabolic Enzyme/Protease
Shogaol,Autophagy,Autophagy
Alantolactone,Apoptosis; STAT; TGF-beta/Smad,Apoptosis; JAK/STAT Signaling; Stem Cell/Wnt; TGF-beta/Smad
3-Hydroxybenzoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Oleic acid,Apoptosis; Endogenous Metabolite; Na+/K+ ATPase,Apoptosis; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease
Rhein 8-Glucoside,Others,Others
Coumarin,Influenza Virus,Anti-infection
Trimethylamine N-oxide,Endogenous Metabolite; NOD-like Receptor (NLR); Reactive Oxygen Species; TGF-beta/Smad,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB; Stem Cell/Wnt; TGF-beta/Smad
Tauroursodeoxycholate,Apoptosis; Caspase; Endogenous Metabolite; ERK,Apoptosis; MAPK/ERK Pathway; Metabolic Enzyme/Protease; Stem Cell/Wnt
Hexahydrofarnesyl acetone,Bacterial,Anti-infection
Acetylcysteine,Apoptosis; Endogenous Metabolite; Ferroptosis; Influenza Virus; Reactive Oxygen Species,Anti-infection; Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Hydroxytyrosol,Bacterial; Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
2-Thiophenecarboxaldehyde,Endogenous Metabolite,Metabolic Enzyme/Protease
Glucovanillin,Others,Others
4-Hydroxybenzyl cyanide,Endogenous Metabolite,Metabolic Enzyme/Protease
Adenine (hemisulfate),DNA/RNA Synthesis; Endogenous Metabolite,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Ginkgetin,Apoptosis; Autophagy; Wnt,Apoptosis; Autophagy; Stem Cell/Wnt
Estradiol,Bacterial; Endogenous Metabolite; Estrogen Receptor/ERR,Anti-infection; Metabolic Enzyme/Protease; Others
Phenothiazine,Antibiotic; Bacterial; Fungal,Anti-infection
Citronellol,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Octanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Biochanin A,Autophagy; Endogenous Metabolite; FAAH,Autophagy; Metabolic Enzyme/Protease; Neuronal Signaling
"5,7-Dihydroxychromone",Arenavirus; Caspase; Keap1-Nrf2; PARP,Anti-infection; Apoptosis; Cell Cycle/DNA Damage; Epigenetics; NF-κB
Narcissin,Others,Others
Oxypurinol,Endogenous Metabolite; Xanthine Oxidase,Metabolic Enzyme/Protease
(+)-Gallocatechin,Others,Others
cis-​Jasmone,Others,Others
Fraxidin,Bacterial,Anti-infection
α-Carotene,Others,Others
Synephrine,Adrenergic Receptor; Endogenous Metabolite,GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
Byakangelicol,COX,Immunology/Inflammation
Tiliroside,Others,Others
Ampicillin (sodium),Antibiotic; Bacterial,Anti-infection
3-(2-Hydroxyphenyl)propanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
N-trans-Feruloyltyramine,COX,Immunology/Inflammation
Isochlorogenic acid A,Endogenous Metabolite; HBV; Reactive Oxygen Species,Anti-infection; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Ursolic acid,Autophagy; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease
Paradol,COX,Immunology/Inflammation
Amoxicillin (sodium),Antibiotic; Bacterial,Anti-infection
Dibutyl phthalate,Others,Others
Trilobatin,HIV; SGLT,Anti-infection; Membrane Transporter/Ion Channel
2'-Hydroxyacetophenone,Others,Others
DL-Tryptophan,Endogenous Metabolite,Metabolic Enzyme/Protease
i-Inositol,Endogenous Metabolite,Metabolic Enzyme/Protease
Sesamolin,Caspase; JNK; p38 MAPK,Apoptosis; MAPK/ERK Pathway
Carnosol,Endogenous Metabolite; Keap1-Nrf2; Ribosomal S6 Kinase (RSK),MAPK/ERK Pathway; Metabolic Enzyme/Protease; NF-κB
Succinic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Tetrahydrobiopterin,Endogenous Metabolite; NO Synthase,Immunology/Inflammation; Metabolic Enzyme/Protease
Danthron,AMPK; Autophagy; Bacterial; Virus Protease,Anti-infection; Autophagy; Epigenetics; PI3K/Akt/mTOR
Boldine,RANKL/RANK ,NF-κB
Xanthotoxol,5-HT Receptor; Endogenous Metabolite; Reactive Oxygen Species,GPCR/G Protein; Immunology/Inflammation; Metabolic Enzyme/Protease; Neuronal Signaling; NF-κB
Prosapogenin A,Apoptosis,Apoptosis
Syringaldehyde,COX,Immunology/Inflammation
Chlorogenic acid,Bacterial; Endogenous Metabolite; HIF/HIF Prolyl-Hydroxylase; Influenza Virus; Reactive Oxygen Species,Anti-infection; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Pregnenolone monosulfate,Autophagy; Cannabinoid Receptor; Endogenous Metabolite; TRP Channel,Autophagy; GPCR/G Protein; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Catechin,Apoptosis; COX; Endogenous Metabolite; Influenza Virus,Anti-infection; Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease
Nudifloramide,Endogenous Metabolite; PARP,Cell Cycle/DNA Damage; Epigenetics; Metabolic Enzyme/Protease
Lactose,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Piperine,Autophagy; Endogenous Metabolite; P-glycoprotein,Autophagy; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease
Tangeretin,Apoptosis; Notch,Apoptosis; Neuronal Signaling; Stem Cell/Wnt
Chenodeoxycholic Acid,Autophagy; Endogenous Metabolite; FXR,Autophagy; Metabolic Enzyme/Protease
"7,4'-Di-O-methylapigenin",Endogenous Metabolite,Metabolic Enzyme/Protease
Pantethine,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Aminohippuric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Isoflavone,Others,Others
Pinocembrin,Autophagy; Bacterial; Reactive Oxygen Species,Anti-infection; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Reynoutrin,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Tirucallol,Others,Others
Folic acid,DNA/RNA Synthesis; Endogenous Metabolite,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
(-)-Epicatechin,COX; Endogenous Metabolite; Ferroptosis,Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease
Dihydrokaempferol,Apoptosis; Bcl-2 Family,Apoptosis
Xylose,Endogenous Metabolite,Metabolic Enzyme/Protease
Pentadecanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
S-Adenosyl-L-methionine (disulfate tosylate),Endogenous Metabolite,Metabolic Enzyme/Protease
Notoginsenoside Fc,Autophagy,Autophagy
5-Hydroxyindole-3-acetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
2'-Deoxyadenosine-5'-monophosphate,Endogenous Metabolite,Metabolic Enzyme/Protease
Benzyl isothiocyanate,Antibiotic; Apoptosis; Bacterial,Anti-infection; Apoptosis
4-Pyridoxic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Mandelic acid,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
"(E)-3',6-Disinapoylsucrose",Others,Others
(-)-(S)-Equol,Endogenous Metabolite; Estrogen Receptor/ERR,Metabolic Enzyme/Protease; Others
N-(5-Aminopentyl)acetamide,Endogenous Metabolite,Metabolic Enzyme/Protease
(S)-Leucic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
12-Hydroxydodecanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Lupiwighteone,Apoptosis,Apoptosis
Quinolinic acid,Endogenous Metabolite; iGluR,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
"4-(1,2-Dihydroxyethyl)benzene-1,2-diol",Endogenous Metabolite,Metabolic Enzyme/Protease
Glycitin,Bacterial; Influenza Virus,Anti-infection
Hypoxanthine,Endogenous Metabolite,Metabolic Enzyme/Protease
Dihydroresveratrol,Estrogen Receptor/ERR,Others
Kynurenic acid,Apoptosis; CXCR; Endogenous Metabolite; iGluR,Apoptosis; GPCR/G Protein; Immunology/Inflammation; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Isoallolithocholic acid,Others,Others
α-Linolenic acid,Akt; PI3K,PI3K/Akt/mTOR
"Vitexin-2""-O-rhamnoside",Others,Others
3-Butylidenephthalide,Parasite,Anti-infection
7-Ketolithocholic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"3,4-Dicaffeoylquinic acid",Apoptosis; Endogenous Metabolite; Glucosidase; Influenza Virus,Anti-infection; Apoptosis; Metabolic Enzyme/Protease
NADH (disodium salt),Endogenous Metabolite,Metabolic Enzyme/Protease
Elaidic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
cis-5-Dodecenoic acid,COX; Endogenous Metabolite,Immunology/Inflammation; Metabolic Enzyme/Protease
1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine,Endogenous Metabolite,Metabolic Enzyme/Protease
Neoeriocitrin,Cholinesterase (ChE),Neuronal Signaling
Dinoprost,Apoptosis; Autophagy; Endogenous Metabolite; Prostaglandin Receptor,Apoptosis; Autophagy; GPCR/G Protein; Metabolic Enzyme/Protease
Saponarin,Others,Others
Cortodoxone,Endogenous Metabolite; Glucocorticoid Receptor,Immunology/Inflammation; Metabolic Enzyme/Protease
Dihydrocurcumin,Fatty Acid Synthase (FASN),Metabolic Enzyme/Protease
Uridine 5′-diphosphoglucose (disodium salt),Endogenous Metabolite; P2Y Receptor,GPCR/G Protein; Metabolic Enzyme/Protease
Torachrysone-8-O-b-D-glucoside,Others,Others
Purine,Endogenous Metabolite,Metabolic Enzyme/Protease
Nicotinuric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Tetradecanoylcarnitine,Endogenous Metabolite,Metabolic Enzyme/Protease
Imidazoleacetic acid (hydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
2-Hydroxyphenylacetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
(Z)-Aconitic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Ureidopropionic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Punicalin,HBV,Anti-infection
Stearoylcarnitine,Endogenous Metabolite,Metabolic Enzyme/Protease
2-Phenylacetamide,Endogenous Metabolite,Metabolic Enzyme/Protease
Palmitic acid,Endogenous Metabolite; HSP,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Cyclic N-Acetyl-D-mannosamine,Endogenous Metabolite,Metabolic Enzyme/Protease
Phenylpyruvic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Ac-Ala-OH,Endogenous Metabolite,Metabolic Enzyme/Protease
"3,4-Dihydroxymandelic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
"2,4,6-Trihydroxybenzoic acid",CDK,Cell Cycle/DNA Damage
Oxaloacetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"Theaflavin 3,3'-digallate",HIV; HSV; Virus Protease,Anti-infection
Thymine,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Threitol,Endogenous Metabolite,Metabolic Enzyme/Protease
Celecoxib,COX,Immunology/Inflammation
Theaflavin-3'-gallate,Others,Others
(S)-2-acetamido-4-amino-4-oxobutanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
N-Acetylputrescine hydrochloride,Endogenous Metabolite,Metabolic Enzyme/Protease
Liquiritigenin,Estrogen Receptor/ERR,Others
p-Hydroxybenzaldehyde,Endogenous Metabolite; GABA Receptor,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Oxalic Acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Pimelic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Isoliquiritigenin,Aldose Reductase; Apoptosis; Autophagy; Influenza Virus,Anti-infection; Apoptosis; Autophagy; Metabolic Enzyme/Protease
3-Phenylbutyric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Methylpentanoic acid,Others,Others
Lignoceric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Calenduloside E,Endogenous Metabolite; HSP,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
L-Tartaric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Zearalenone,Estrogen Receptor/ERR,Others
SAH,Endogenous Metabolite,Metabolic Enzyme/Protease
Rhamnetin,Phospholipase,Metabolic Enzyme/Protease
3-Methyl-2-oxovaleric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Anserine,Endogenous Metabolite,Metabolic Enzyme/Protease
Methylcobalamin,Endogenous Metabolite,Metabolic Enzyme/Protease
Raspberry ketone,PPAR,Cell Cycle/DNA Damage
Tricosanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Pyridoxylamine,Endogenous Metabolite,Metabolic Enzyme/Protease
Indole-3-carboxaldehyde,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Hydroxy-3-methylbenzoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Zerumbone,HSV,Anti-infection
Artemitin,Others,Others
Methyl p-coumarate,Fungal,Anti-infection
Vitexin,Autophagy,Autophagy
Guaiazulene,Endogenous Metabolite,Metabolic Enzyme/Protease
7-Methoxyrosmanol,Others,Others
Cafestol,COX; ERK; NF-κB; PGE synthase,Immunology/Inflammation; MAPK/ERK Pathway; NF-κB; Stem Cell/Wnt
Naringin,Autophagy; Cytochrome P450; Endogenous Metabolite; Mitophagy,Autophagy; Metabolic Enzyme/Protease
Pinoresinol,Apoptosis,Apoptosis
Sinapine,Cholinesterase (ChE); P-glycoprotein,Membrane Transporter/Ion Channel; Neuronal Signaling
Scutellarein,Autophagy; SARS-CoV; Src,Anti-infection; Autophagy; Protein Tyrosine Kinase/RTK
Deoxycholic acid sodium salt,Endogenous Metabolite; G protein-coupled Bile Acid Receptor 1,GPCR/G Protein; Metabolic Enzyme/Protease
Spironolactone,Androgen Receptor; Autophagy; Mineralocorticoid Receptor,Autophagy; Metabolic Enzyme/Protease; Others
Silychristin,Monocarboxylate Transporter,Membrane Transporter/Ion Channel
Dodecanoylcarnitine,Endogenous Metabolite,Metabolic Enzyme/Protease
Heptadecanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Tauroursodeoxycholate (dihydrate),Apoptosis; Caspase; Endogenous Metabolite; ERK,Apoptosis; MAPK/ERK Pathway; Metabolic Enzyme/Protease; Stem Cell/Wnt
Morusin,Bacterial; NF-κB; STAT,Anti-infection; JAK/STAT Signaling; NF-κB; Stem Cell/Wnt
4-Methylbiphenyl,Endogenous Metabolite,Metabolic Enzyme/Protease
N-Acetyl-L-phenylalanine,Endogenous Metabolite,Metabolic Enzyme/Protease
Isoliquiritin,Fungal,Anti-infection
4-​Hydroxyphenylpyruvic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Cichoriin,SARS-CoV,Anti-infection
Myristic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Hexanoylcarnitine,Endogenous Metabolite,Metabolic Enzyme/Protease
5-O-Demethylnobiletin,Leukotriene Receptor; Lipoxygenase,GPCR/G Protein; Metabolic Enzyme/Protease
(2-Aminoethyl)phosphonic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Procyanidin C1,Apoptosis,Apoptosis
Meglutol,Autophagy; Endogenous Metabolite; HMG-CoA Reductase (HMGCR),Autophagy; Metabolic Enzyme/Protease
Caffeic acid phenethyl ester,Apoptosis; NF-κB,Apoptosis; NF-κB
Guanosine,Endogenous Metabolite; HSV,Anti-infection; Metabolic Enzyme/Protease
Nicotinamide N-oxide,CXCR; Drug Metabolite; Endogenous Metabolite,GPCR/G Protein; Immunology/Inflammation; Metabolic Enzyme/Protease
2-Naphthol,Endogenous Metabolite,Metabolic Enzyme/Protease
Benzamide,Endogenous Metabolite; PARP,Cell Cycle/DNA Damage; Epigenetics; Metabolic Enzyme/Protease
Xanthine,Endogenous Metabolite,Metabolic Enzyme/Protease
Acetyl-L-lysine,Endogenous Metabolite,Metabolic Enzyme/Protease
Ferulic acid methyl ester,Autophagy; p38 MAPK,Autophagy; MAPK/ERK Pathway
2-Hydroxyhexanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Mannose,Endogenous Metabolite,Metabolic Enzyme/Protease
5-Pentadecylresorcinol,Others,Others
Kuromanin (chloride),Others,Others
Eriodictyol,DNA/RNA Synthesis; Endogenous Metabolite; Influenza Virus; Keap1-Nrf2,Anti-infection; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease; NF-κB
Creosol,Endogenous Metabolite,Metabolic Enzyme/Protease
Trioxsalen,DNA Alkylator/Crosslinker,Cell Cycle/DNA Damage
Diethylstilbestrol,Estrogen Receptor/ERR,Others
Salicylic acid,Apoptosis; Autophagy; COX; Endogenous Metabolite; Mitophagy,Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease
Isosakuranin,Others,Others
Ginkgolic Acid (C13:0),Bacterial,Anti-infection
Bergaptol,Cytochrome P450,Metabolic Enzyme/Protease
3-O-Methylgallic acid,Apoptosis,Apoptosis
Ethyl linolenate,MCHR1 (GPR24),GPCR/G Protein; Neuronal Signaling
Trigonelline,Apoptosis; Endogenous Metabolite; Ferroptosis,Apoptosis; Metabolic Enzyme/Protease
Isoschaftoside,Fungal,Anti-infection
Allantoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Vanillic acid,Bacterial; Endogenous Metabolite; NF-κB,Anti-infection; Metabolic Enzyme/Protease; NF-κB
Methyl Paraben,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
L-Palmitoylcarnitine (chloride),Endogenous Metabolite; Potassium Channel,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease
5-Amino-3H-imidazole-4-Carboxamide,Endogenous Metabolite,Metabolic Enzyme/Protease
Hastatoside,Others,Others
Desmethoxyyangonin,Monoamine Oxidase,Neuronal Signaling
Decursinol angelate,PKC,Epigenetics; TGF-beta/Smad
Canrenone,Endogenous Metabolite; Mineralocorticoid Receptor,Metabolic Enzyme/Protease
DL-Tartaric acid,Others,Others
Betulinic acid,Apoptosis; Autophagy; Endogenous Metabolite; HIV; Mitophagy; NF-κB; Topoisomerase,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease; NF-κB
Cinchonidine,Parasite; Serotonin Transporter,Anti-infection; Neuronal Signaling
Steviol,Aquaporin,Membrane Transporter/Ion Channel
Sinapine (thiocyanate),Cholinesterase (ChE); P-glycoprotein,Membrane Transporter/Ion Channel; Neuronal Signaling
N-Methylnicotinamide,Endogenous Metabolite,Metabolic Enzyme/Protease
Deguelin,Akt; Apoptosis; Autophagy,Apoptosis; Autophagy; PI3K/Akt/mTOR
Luteolin,Apoptosis; Autophagy; Endogenous Metabolite; Keap1-Nrf2,Apoptosis; Autophagy; Metabolic Enzyme/Protease; NF-κB
Neochlorogenic acid,COX; Interleukin Related; NF-κB; TNF Receptor,Apoptosis; Immunology/Inflammation; NF-κB
D-Erythro-dihydrosphingosine,Endogenous Metabolite; Phospholipase,Metabolic Enzyme/Protease
Ginkgolide B,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Salicyluric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
α-Angelica lactone,Gutathione S-transferase,Metabolic Enzyme/Protease
Syringin,Autophagy,Autophagy
"3,4-Dimethylbenzoic acid",Others,Others
Magnesium acetate tetrahydrate,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Protodioscin,Endogenous Metabolite,Metabolic Enzyme/Protease
Nonivamide,TRP Channel,Membrane Transporter/Ion Channel; Neuronal Signaling
Estragole,Others,Others
Butylated hydroxytoluene,Endogenous Metabolite; Ferroptosis,Apoptosis; Metabolic Enzyme/Protease
4-Methyl-5-thiazoleethanol,Endogenous Metabolite,Metabolic Enzyme/Protease
Pulegone,Endogenous Metabolite; TRP Channel,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Verbenalin,SARS-CoV,Anti-infection
Maltotetraose,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
4-Acetamidophenyl acetate,Bacterial; Others,Anti-infection; Others
Terpinen-4-ol,Endogenous Metabolite,Metabolic Enzyme/Protease
"2,4-Dihydroxybenzaldehyde",Endogenous Metabolite,Metabolic Enzyme/Protease
Methyl acetylacetate,Endogenous Metabolite,Metabolic Enzyme/Protease
Galangin,Autophagy; Cytochrome P450,Autophagy; Metabolic Enzyme/Protease
m-Tolylacetic acid,Others,Others
8-Gingerol,Bacterial; TRP Channel,Anti-infection; Membrane Transporter/Ion Channel; Neuronal Signaling
3-Furanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Pantothenic acid (hemicalcium salt),Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
2-Oxobutanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Emodin-8-glucoside,Others,Others
7-keto-Deoxycholic acid,Others,Others
Cysteamine (hydrochloride),Apoptosis; Autophagy; Endogenous Metabolite; Reactive Oxygen Species,Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Benzyl salicylate,Others,Others
Protocatechuic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Naftidrofuryl (oxalate),5-HT Receptor,GPCR/G Protein; Neuronal Signaling
(E)-Ferulic acid,Bcl-2 Family; Endogenous Metabolite; Ferroptosis; β-catenin,Apoptosis; Metabolic Enzyme/Protease; Stem Cell/Wnt
Pomolic acid,Apoptosis,Apoptosis
Xanthurenic acid,Apoptosis; Endogenous Metabolite; mGluR,Apoptosis; GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
